"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"STLRW","Stellar Acquisition III Inc.","0.19","0","n/a","Greece","2016","Finance","Business Services","http://www.nasdaq.com/symbol/stlrw",
"STM","STMicroelectronics N.V.","9.55","8435830522.45","n/a","Switzerland","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/stm",
"SMMT","Summit Therapeutics plc","10.2","125428278","n/a","United Kingdom","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/smmt",
"SYT","Syngenta AG","76.93","35751543887.85","n/a","Switzerland","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/syt",
"TLND","Talend S.A.","24.8","706956289.6","n/a","France","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tlnd",
"TEL","TE Connectivity Ltd.","66.75","23719146651.75","n/a","Switzerland","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/tel",
"TI","Telecom Italia S.P.A.","7.25","14038863083","n/a","Italy","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ti",
"TEF","Telefonica SA","8.44","41990681222.68","n/a","Spain","1988","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tef",
"TS","Tenaris S.A.","31.46","18569844335.9","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ts",
"TX","Ternium S.A.","22.52","4420848886.04","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tx",
"TOPS","TOP Ships Inc.","3.27","11616285.87","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/tops",
"TOT","TotalFinaElf, S.A.","46.85","112117151402.8","n/a","France","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tot",
"RIG","Transocean Ltd.","11.66","4261622156.66","n/a","Switzerland","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rig",
"RIGP","Transocean Partners LLC","13.01","891200208.69","n/a","United Kingdom","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rigp",
"TRIB","Trinity Biotech plc","6.75","161730229.5","n/a","Ireland","1992","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/trib",
"TNP","Tsakos Energy Navigation Ltd","4.75","399734236","n/a","Greece","2002","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/tnp",
"TNP^B","Tsakos Energy Navigation Ltd","24.9976","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tnp^b",
"TNP^C","Tsakos Energy Navigation Ltd","25.55","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tnp^c",
"TNP^D","Tsakos Energy Navigation Ltd","24.65","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tnp^d",
"UBS","UBS AG","15.75","58377675242.25","n/a","Switzerland","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/ubs",
"UN","Unilever NV","39.06","118151971422.66","n/a","Netherlands","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/un",
"UL","Unilever PLC","39.17","118484708669.37","n/a","United Kingdom","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ul",
"QURE","uniQure N.V.","7.13","179226874.17","n/a","Netherlands","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/qure",
"DGLD","VelocityShares 3x Inverse Gold ETN linked to S&P GSCI Gold Ind","55.78","17069237.8","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld",
"DSLV","VelocityShares 3x Inverse Silver ETN linked to S&P GSCI Silver","29.75","19424846","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dslv",
"UGLD","VelocityShares 3x Long Gold ETN linked to the S&P GSCI Gold In","9.89","81252462.02","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ugld",
"USLV","VelocityShares 3x Long Silver ETN linked to the S&P GSCI Silve","13.39","198071079.57","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/uslv",
"TVIZ","VelocityShares Daily 2x VIX Medium Term ETN","7.48","1604400.16","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/tviz",
"TVIX","VelocityShares Daily 2x VIX Short Term ETN","11.43","248441737.05","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/tvix",
"ZIV","VelocityShares Daily Inverse VIX Medium Term ETN","46.83","73195290","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ziv",
"XIV","VelocityShares Daily Inverse VIX Short Term ETN","43.75","796419881.25","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/xiv",
"VIIZ","VelocityShares VIX Medium Term ETN","12.06","783900","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/viiz",
"VIIX","VelocityShares VIX Short Term ETN","9.39","10760620.74","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/viix",
"VIP","VimpelCom Ltd.","3.27","5744510811.45","n/a","Netherlands","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vip",
"VOD","Vodafone Group Plc","25.51","67750912860.81","n/a","United Kingdom","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vod",
"VTTI","VTTI Energy Partners LP","17.7","712425000","n/a","United Kingdom","2014","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/vtti",
"WFT","Weatherford International plc","4.82","4324877159.58","n/a","Switzerland","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/wft",
"WLTW","Willis Towers Watson Public Limited Company","123.9","16942880075.1","n/a","United Kingdom","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/wltw",
"WPPGY","WPP plc","105.93","28177380000","n/a","Ireland","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/wppgy",
"WMGI","Wright Medical Group N.V.","23.62","2440155485.78","n/a","Netherlands","2011","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/wmgi",
"WMGIZ","Wright Medical Group N.V.","1.3299","0","n/a","Netherlands","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/wmgiz",
"XL","XL Group Ltd.","37.36","10052076444.32","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/xl",
"YNDX","Yandex N.V.","18.6","5985452267.4","n/a","Netherlands","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/yndx",
